,session_duration,wild_mouse_duration,pct_scroll_move,screen_width,product_ean,pct_doubleclick,browser_name,pct_mouse_click,pct_mouse_move,pct_wild_mouse,pct_click_product_info,mouse_move_total_rel_distance,scroll_move_total_rel_distance,page_activity_duration,session_start,screen_height,pct_input,pct_scrandom,pct_rage_click,ack,pct_scroll_move_duration,pct_click,total_load_time,registration
3374,104.40955,10.86519,60.9015,1,5533619070812,13.60732,5,8.17836,12.83322,64.06326,59.11064,8.23669,8.76772,9.71388,135218,600,4.84946,36.55652,60.45693,0.0,8.16181,10.81652,2.40934,20210112
7403,126.94518,9.72046,51.62558,2,8212344857253,10.8926,2,10.74516,12.11416,63.48603,37.83435,9.44653,7.61399,8.35126,181623,2,1.55812,60.73921,39.5199,0.0,7.85951,7.76999,0.94163,20161123
9854,203.55711,9.62722,39.88397,1024,2513074332345,8.8369,2,10.85275,12.03824,52.03446,61.42159,8.73921,8.24888,10.7121,184228,1024,1.46284,35.23302,28.81016,0.0,11.85518,11.06763,6.24713,20171214
10834,188.82843,10.16821,60.12781,1,9207336761112,11.7712,2,9.73854,12.5775,31.7345,31.30765,11.73226,7.54426,11.21224,202201,768,2.45561,47.28315,57.70379,1.0,11.82244,10.99906,2.94087,20190717
10425,138.47136,9.62407,35.74176,1920,8156307547815,12.49573,2,8.69681,11.7697,49.96079,36.62394,11.84978,7.11674,11.70333,104532,600,1.41905,46.98627,44.07123,1.0,12.40981,11.41907,0.95296,20161109
9894,230.02205,8.96487,38.58704,1024,2430569202818,11.2799,1,8.94669,11.07732,35.58134,55.68986,10.96723,6.98706,8.45326,180712,1024,0.79052,50.52772,35.77067,1.0,7.17282,6.7495,5.00989,20150304
3979,110.83886,9.17755,48.02625,1024,9078910898292,11.77877,2,11.15632,12.07506,46.2927,47.86986,10.5866,9.00852,8.17958,61452,768,0.92791,34.71441,34.82075,1.0,9.01888,8.44516,0.92697,20190106
4661,86.61967,10.93973,65.04988,1920,6309190049184,9.53126,3,9.75834,9.86188,43.76205,67.70103,6.52302,7.78525,7.05495,163022,800,5.3341,42.15492,42.52593,0.0,7.74865,6.93348,3.80906,20200721
5449,172.74397,8.98695,65.64074,1,703468742306,9.33559,2,9.68169,12.50354,43.72881,30.38967,9.2877,8.13173,11.73259,25412,800,0.78436,52.23096,35.45313,0.0,12.57262,12.15198,2.48043,20141116
10068,234.48907,8.26114,55.49667,1366,2076214239756,11.96097,1,8.2554,10.88385,52.29739,46.16628,11.63661,8.08206,11.43495,135422,600,0.40524,32.50204,37.77865,1.0,10.34927,10.74789,6.05468,20150812
5855,186.41509,10.96944,66.15971,1024,3875584998121,13.03114,1,10.21319,11.73416,39.34353,60.29788,11.21823,8.78696,10.00196,31541,768,5.45641,25.97447,31.84606,1.0,8.93376,9.94721,5.2066,20140417
9890,230.02205,8.96487,38.58704,1024,2430569202818,11.2799,1,8.94669,11.07732,35.58134,55.68986,10.96723,6.98706,8.45326,180712,1024,0.79052,50.52772,35.77067,1.0,7.17282,6.7495,5.00989,20190614
3950,97.80043,10.54865,56.03331,800,3385754722727,11.56078,3,9.45829,9.80542,68.20221,46.93984,10.80846,6.28541,9.74207,120943,600,3.58639,41.66665,30.20753,1.0,8.94453,8.00949,1.70824,20160215
3943,250.1903,9.8832,54.46645,800,6899153620609,11.88954,5,10.63893,11.34428,49.38831,38.77412,11.46134,7.82652,11.6837,153821,2,1.83243,57.80465,49.12712,1.0,11.72196,11.40618,1.18557,20170207
2333,176.3397,9.88529,48.43347,2,9337178705477,10.76919,2,8.40539,11.73319,59.76074,49.84976,9.89987,8.8345,11.17772,164807,800,1.83254,33.69072,49.29146,1.0,10.62297,11.39291,4.94642,20211010
7544,66.40659,10.63931,34.27553,1280,2717256031099,12.98045,2,10.40696,11.50902,49.28439,45.80465,13.31328,7.95304,10.23412,155710,1080,3.90006,65.23028,48.3061,1.0,13.31988,10.38089,0.85284,20180617
8636,160.42745,11.04816,53.26647,1024,1666299586107,8.01579,4,8.64599,10.50189,57.1008,57.78814,7.05283,8.98566,7.90021,71557,1024,5.8523,46.97719,30.23111,1.0,8.43562,7.96903,2.69635,20150115
1770,202.41327,9.12991,56.35077,1280,9292114977588,12.02255,3,10.30293,10.30526,39.2446,67.95827,11.89844,9.04611,10.58749,213025,768,0.87355,49.73085,52.67916,1.0,10.78726,10.4059,5.38487,20190326
1886,112.07131,9.08961,67.9282,1366,6036694102809,11.93836,1,9.20687,9.9707,58.90515,39.08995,8.01227,9.7113,9.59992,11903,1024,0.85926,38.10251,41.63751,0.0,8.96448,10.52724,9.17446,20180508
3153,173.36452,10.24932,51.06152,1280,8689407562568,12.42236,2,9.10322,11.0011,47.92018,72.27742,11.4607,6.33076,7.99257,100453,1080,2.75413,38.38756,65.72252,1.0,9.24169,6.81596,2.87869,20191006
8901,89.31732,10.38063,54.83211,1920,3000913587374,11.26599,1,10.06745,10.97815,53.51895,63.40433,10.71418,9.9089,10.46044,170151,1,2.98983,33.40292,34.18601,0.0,9.46466,10.60138,2.57265,20220730
2593,133.06118,9.44192,48.27966,1,3229721571744,10.53776,1,10.92975,10.28771,46.09176,47.51182,6.63428,7.19513,7.26077,85234,768,1.09069,45.03494,36.30083,0.0,7.31145,7.00634,1.72264,20220319
336,132.05707,9.46027,34.64947,2,3972507432653,11.82032,2,9.23046,11.73687,40.35817,54.36006,12.80921,7.3677,11.60114,72027,768,1.17571,56.84558,42.9621,1.0,12.48337,10.9567,2.01749,20190218
3904,216.95787,10.30775,57.84481,800,5517947833509,9.0721,2,9.57858,10.78771,59.94198,47.36326,8.8046,6.77378,12.61411,173730,2,2.76521,31.38224,34.63823,0.0,11.39837,11.72432,1.37068,20140329
503,226.72102,8.87915,51.45639,1366,4810961611797,13.15832,1,11.08345,12.46229,58.99097,51.26714,10.98784,6.24556,7.34701,35309,768,0.64227,54.71906,51.70459,0.0,7.77619,6.37007,9.0151,20141101
9707,172.08549,8.57953,45.42875,1,1649998453659,11.41286,3,8.80272,11.83525,36.1342,42.9115,11.49563,6.45394,8.54216,31223,768,0.49953,42.30526,37.61968,1.0,8.09201,6.86499,2.45419,20190328
2931,110.16995,11.36467,37.38387,1,6361407665853,10.29637,1,11.39575,11.80149,48.34231,43.3439,9.07368,6.68429,7.03146,83726,2,8.1789,63.35146,62.18654,0.0,7.47643,6.00016,1.37699,20190216
2889,146.55887,9.90862,38.91879,800,3651688656545,11.96914,2,9.12552,11.70372,34.6062,40.08063,10.61848,7.54124,11.98669,75855,1080,1.8812,36.22121,42.60491,1.0,10.76927,11.61569,0.95927,20170914
7799,215.43882,8.99836,52.04089,1280,571971209391,13.20205,5,9.13544,12.21666,64.48684,61.02145,9.11212,10.34093,10.92131,181954,1024,0.735,58.03782,46.76333,0.0,9.28515,12.41388,4.1725,20171230
10114,178.08148,9.95876,48.62977,2,1024438910679,10.18304,6,9.49428,12.00185,32.8506,50.80115,11.1682,8.14333,11.74409,182501,768,1.99086,59.06383,61.11957,1.0,12.42817,11.60335,1.09415,20210121
2664,176.68469,8.99749,38.94505,1920,3079641010645,11.46542,2,9.70817,12.77365,35.20171,52.74332,10.16755,7.78623,8.13087,70827,1080,0.79085,44.44057,45.31632,0.0,8.13554,7.76179,4.59623,20200210
1217,159.26414,9.64012,31.56143,1024,7862674159636,8.71519,2,10.00384,11.17795,41.64723,69.25103,8.55523,7.97349,10.15664,203730,1080,1.52367,60.95513,45.92496,0.0,13.53721,10.86731,0.81799,20160307
5844,116.01336,10.25021,35.25147,1024,8282994082718,11.69447,2,10.21194,11.67363,37.6162,31.15011,11.73203,7.90052,11.36725,35752,1080,2.67155,54.23365,64.38354,1.0,12.37702,11.28685,1.02826,20151206
2930,110.16995,11.36467,37.38387,1,6361407665853,10.29637,1,11.39575,11.80149,48.34231,43.3439,9.07368,6.68429,7.03146,83726,2,8.1789,63.35146,62.18654,0.0,7.47643,6.00016,1.37699,20211002
605,239.62336,9.53434,34.68697,1366,5237222696765,10.11927,2,9.12061,10.75848,55.29261,28.73057,10.84575,9.68333,11.57208,213457,1,1.25343,43.48329,38.2472,1.0,9.97133,11.24513,6.48723,20180102
3905,202.98557,8.75521,35.3407,1366,8001095998014,11.9083,1,8.82871,9.44339,51.40574,35.14961,7.48449,8.71528,8.05476,174830,1024,0.61912,41.6701,46.24914,0.0,8.61001,8.70119,2.66338,20180812
1732,173.75877,9.22428,40.58659,1366,634717024235,11.31036,2,11.25433,11.66237,55.84163,55.31404,9.49239,8.78175,9.52665,65230,1,0.91382,42.11906,41.78004,1.0,8.64899,9.57843,4.18826,20210225
218,208.6555,8.20267,46.38538,1280,1787185772951,11.09831,1,10.696,11.32478,57.20733,66.33929,10.28388,7.10024,9.16318,91157,768,0.33337,41.20694,39.7335,1.0,8.71516,8.13657,3.28796,20190829
8563,91.20095,10.26817,47.31768,1280,8930790136714,10.57253,1,8.76791,11.87431,46.67059,36.73173,12.19826,9.71446,8.67697,85704,800,2.65642,52.67331,30.35992,1.0,10.10534,8.63726,2.88986,20200122
9852,203.55711,9.62722,39.88397,1024,2513074332345,8.8369,2,10.85275,12.03824,52.03446,61.42159,8.73921,8.24888,10.7121,184228,1024,1.46284,35.23302,28.81016,0.0,11.85518,11.06763,6.24713,20160427
7951,88.88097,10.90771,40.13623,1024,1787416090724,12.10529,1,10.17768,11.88676,60.1039,61.90093,12.13286,6.41525,12.23353,40207,1080,5.15136,34.48374,38.79957,1.0,12.85676,11.52728,6.03155,20211221
5861,92.56172,9.67182,41.99936,1920,6139623319665,10.63488,6,9.04023,11.55094,61.09994,55.04557,13.11675,8.51942,7.24593,154658,800,1.5589,34.01978,38.00701,1.0,8.17792,5.88822,5.44039,20201124
1480,89.98169,8.98392,45.77202,1920,510359323021,11.19514,1,8.70131,10.59404,66.04522,69.37482,11.83633,8.75476,11.40909,182457,1080,0.77604,61.27395,39.03357,1.0,11.05694,10.93366,7.31332,20210418
2150,84.87976,10.78558,38.70723,800,483499700062,13.83648,6,9.50208,10.71388,60.52567,48.96627,10.83175,8.97965,10.91485,13301,600,4.57343,39.82418,45.29043,0.0,8.68681,10.90683,4.88056,20220815
339,133.45204,11.19535,58.49375,1024,6461550294532,14.13389,3,9.58612,9.62632,29.96323,42.2602,11.29339,9.07896,10.68966,220606,800,6.77399,34.38748,56.27671,0.0,9.08653,10.60388,6.6876,20190218
4047,109.87928,10.61421,35.28323,1024,9162693712316,9.42647,5,10.356,12.02302,40.80479,31.59946,8.56317,8.14288,12.46012,134343,1,3.89632,59.64234,37.91277,0.0,10.98444,12.47503,1.63348,20191127
8160,174.36057,8.74641,58.63108,1366,8220427972564,8.42967,2,10.1448,11.0381,57.72146,52.10382,7.9072,8.64851,11.56108,204153,1,0.53213,39.82836,54.32872,0.0,9.07618,11.11122,1.95116,20151015
8787,192.0773,9.92971,67.2469,1,5486878727877,11.85808,4,9.7145,11.34682,65.76509,63.88388,8.8862,7.43504,8.04192,33138,600,1.86243,57.672,43.34416,0.0,7.78333,7.69967,3.01521,20200822
9744,128.06922,9.46485,34.83184,1,7379393925492,9.90357,2,9.92449,10.6373,30.62203,46.05875,8.84249,8.40187,11.23419,81940,1024,1.19704,41.0571,47.24761,0.0,11.05745,11.32643,4.06892,20140429
9089,232.80444,10.61864,41.61418,1,6593992349737,10.97624,3,8.41331,11.18766,55.95728,58.74968,12.0737,7.64029,7.66911,63402,600,3.8223,57.39613,35.449,1.0,7.40269,5.9962,1.34538,20220915
1089,204.66734,11.20866,40.91429,1366,3037906508733,8.54086,1,9.7072,11.62013,44.17087,56.15222,9.38271,8.80807,8.18201,200118,1024,6.96902,43.69698,32.00437,0.0,8.814,7.78899,2.34547,20181030
2522,154.09753,9.22361,34.60951,1920,8601460541359,13.24537,2,9.80437,10.79752,67.88788,42.60215,8.65871,7.43432,8.58821,214541,2,0.95596,36.43793,59.35367,0.0,7.62211,8.46057,2.2106,20170622
5158,118.60416,10.21452,59.73816,1024,5629806115722,12.3267,3,9.28197,11.04832,40.56662,63.9258,11.21246,7.64503,8.0117,51911,1080,2.59212,55.71096,45.40575,1.0,8.87567,7.37971,0.71814,20170330
8480,211.41919,9.89326,47.2615,1280,7035478224378,11.32075,5,8.25753,10.95676,54.95871,66.96597,7.39044,10.3343,9.28528,25538,1024,1.80425,40.58349,53.49461,0.0,9.33073,10.8825,4.08019,20140716
10691,219.55569,8.92618,55.83295,1920,2678361243183,10.97358,2,9.34581,11.27693,52.55103,33.35119,13.09888,8.44012,7.47713,84152,1080,0.69173,37.11513,59.44799,1.0,8.90503,6.32672,3.61114,20180609
3279,177.40377,8.71105,34.18207,1366,4184695961696,11.45124,3,10.22516,10.10242,37.73742,69.5444,9.93948,7.07779,9.66908,25916,600,0.50416,33.82729,50.57291,1.0,7.3419,8.12271,1.47391,20140718
7035,129.26109,9.50437,43.81429,1280,3342135885099,11.77276,2,9.95983,11.43284,56.10971,61.52702,12.03646,7.37002,11.83354,155258,1080,1.3183,41.72628,29.52085,1.0,12.51316,11.36783,3.20658,20171004
7539,76.48719,9.78435,53.21595,1,966730504587,9.75506,2,8.79433,11.73958,61.11755,53.81615,10.57019,8.98541,11.35601,11521,1024,1.58201,37.64113,45.8064,1.0,12.36894,11.67537,1.88236,20191102
9757,185.2247,8.25609,52.51401,800,8204633527725,8.06715,4,8.43454,12.86654,52.6117,59.55499,7.65206,9.68503,11.23891,60708,1080,0.39993,58.23424,41.61513,0.0,7.02047,10.97485,1.44691,20220725
7974,213.53278,9.08003,39.71976,1920,8217611871031,10.92977,5,10.47186,12.74629,49.19478,68.70939,11.7912,9.1307,7.87105,65336,800,0.72342,33.74195,49.54129,1.0,10.18267,8.08662,4.71276,20201220
6002,69.05753,10.25665,52.51573,800,8989512284646,10.22365,1,10.08053,13.2667,54.85722,28.79524,7.19406,9.71545,7.25499,25210,768,2.65312,48.48873,41.23394,0.0,9.33114,9.0388,0.81019,20220418
2617,166.62476,9.67654,44.16959,1280,6513412763226,11.72401,1,9.51744,10.76839,48.77757,55.12456,11.71522,6.00336,8.28701,190725,768,1.50077,56.01581,50.943,1.0,8.68066,6.4378,7.18415,20221214
4150,139.93055,9.06237,44.39462,1366,3568743251754,9.51103,3,10.25406,12.15367,67.69335,56.67555,10.39722,8.62382,12.32684,143534,1,0.7819,51.55247,64.47181,1.0,11.02942,12.00522,3.65187,20141124
6490,101.92152,9.2653,52.15002,1024,2376441600320,10.73536,5,10.77711,12.29831,66.39458,53.64299,6.87529,7.87967,7.65583,44312,1080,1.01465,49.86914,36.088,0.0,7.62219,8.08714,1.19386,20180324
6345,53.38124,9.60193,32.72076,800,5740195065877,10.36706,2,10.4798,11.26267,41.84383,47.35921,6.25122,10.33178,9.96509,201446,768,1.40476,43.09759,48.20297,0.0,8.66528,11.4635,8.19526,20170604
5094,199.42126,9.06366,45.2448,1,9292832743021,11.15136,2,9.55284,11.56068,59.30193,45.61034,11.24389,10.29002,8.42309,75406,1080,0.87007,45.19884,34.51706,1.0,9.81766,9.0066,1.585,20220816
10521,103.8381,10.14157,65.28511,1024,2253003939169,10.5863,1,8.83492,12.31207,53.11768,60.90987,11.79935,9.38098,7.74779,204718,2,2.30803,43.22652,48.22849,1.0,7.49648,7.07629,2.08994,20220114
8159,174.36057,8.74641,58.63108,1366,8220427972564,8.42967,2,10.1448,11.0381,57.72146,52.10382,7.9072,8.64851,11.56108,204153,1,0.53213,39.82836,54.32872,0.0,9.07618,11.11122,1.95116,20181118
5426,68.99359,9.8457,41.1243,1280,3310917312934,8.73168,5,11.26893,11.47968,44.90183,43.78816,9.02629,10.29421,11.22952,101710,1080,1.89819,44.56434,56.40457,0.0,9.71711,11.54054,2.62697,20180103
6479,224.78889,11.02687,58.09436,1366,5587622217184,10.98389,1,9.23904,11.82873,55.82571,55.63277,11.92611,8.73103,8.15887,41033,1080,5.76407,32.37568,39.65556,1.0,9.35182,7.69686,3.33473,20210515
7750,177.44737,10.83201,55.35984,1,3491965618961,12.24319,4,10.04904,12.02326,65.20815,40.22393,11.03262,7.87843,11.18078,91232,1080,4.66697,34.57794,49.72051,1.0,11.4031,11.25283,3.54615,20170325
5562,197.40327,9.28069,45.32572,1366,1112005864903,11.12909,4,11.34178,11.94653,50.57756,63.12548,10.37651,8.04508,8.73778,115929,1080,0.90849,33.05358,35.62907,1.0,7.06018,7.7598,1.5672,20151101
9430,159.20135,9.4744,44.65595,1366,7045418803341,12.65781,1,9.95154,12.23922,44.5536,44.55961,12.67392,7.16397,11.05292,24204,800,1.27705,39.25698,40.90725,1.0,12.60109,10.77823,4.18313,20140608
9726,83.50235,9.78107,48.16543,800,7286036621560,11.52183,2,10.48399,11.46769,69.16025,44.84261,9.7765,7.97227,8.25084,91929,800,1.63969,29.21065,51.94285,0.0,8.40771,7.94955,2.24945,20220218
8405,212.62982,9.6909,30.51589,1366,6711565688452,11.23388,1,9.46681,11.49471,55.50377,35.57261,12.70031,8.57946,8.00002,182430,600,1.55659,55.27093,57.91053,1.0,8.96679,7.10712,1.25036,20140501
5097,194.17034,8.8496,49.84229,1366,3806298743998,11.63728,3,10.43392,11.43621,47.33715,51.4883,8.35483,8.9747,8.7184,43042,768,0.63475,54.04833,48.58683,1.0,8.73425,9.42437,3.58085,20220201
2030,139.31662,9.10457,52.74376,1280,9342838425985,12.92844,1,10.69836,12.28227,41.50955,51.4914,7.49663,9.70454,9.88797,222458,1080,0.8804,52.82814,41.79689,0.0,8.63446,11.51979,4.73645,20200517
8963,194.4692,10.74684,62.94288,800,6919334972638,12.28917,4,9.09921,10.22731,35.28787,66.99487,9.89603,7.74005,9.2305,142258,800,4.36494,42.96553,48.3104,1.0,6.96531,8.17524,4.67062,20150212
2409,204.66607,9.1451,33.66682,1280,3069707084727,10.5381,5,10.2805,12.92285,40.35609,43.95649,8.93411,8.69031,11.16601,194250,600,0.90279,30.72213,48.44735,1.0,9.63092,11.49178,8.54869,20221218
