store_name	code	product_ean	location
Wesseling	DE	5727688778933	Europe/Berlin
Maasin	PH	7792555455079	Asia/Manila
Mexborough	GB	6118743003999	Europe/London
Exeter	GB	9657499361696	Europe/London
Ambatondrazaka	MG	2821295500598	Indian/Antananarivo
Bergama	TR	9270964201992	Europe/Istanbul
Eppingen	DE	0506869863928	Europe/Berlin
Boston	US	4616583837276	America/New_York
Longgang	CN	0027764369549	Asia/Shanghai
Ulu Tiram	MY	8390148126376	Asia/Kuala_Lumpur
Lons-le-Saunier	FR	9050239845867	Europe/Paris
Losheim	DE	3156628879287	Europe/Berlin
Marly-le-Roi	FR	2494018976620	Europe/Paris
Hartley	GB	4815910830663	Europe/London
Marau	BR	8210625358222	America/Sao_Paulo
Nidderau	DE	0991622932964	Europe/Berlin
Pune	IN	8300500951928	Asia/Kolkata
Kireyevsk	RU	9766844477118	Europe/Moscow
Siegburg	DE	3549329410505	Europe/Berlin
Toyokawa	JP	0350846462464	Asia/Tokyo
Magong	TW	1681538591711	Asia/Taipei
Hakodate	JP	0201646069943	Asia/Tokyo
Baki	SO	4323202719669	Africa/Mogadishu
Aberdeen	GB	6635217037644	Europe/London
Frenda	DZ	6666618832644	Africa/Algiers
Tavda	RU	1006283164865	Asia/Yekaterinburg
East Dereham	GB	6219947878755	Europe/London
Edremit	TR	3992027764690	Europe/Istanbul
Talence	FR	5010643367212	Europe/Paris
Pekin	US	0532809237979	America/Chicago
Ikalamavony	MG	0026056067224	Indian/Antananarivo
Budva	ME	6706679480856	Europe/Podgorica
Darreh Shahr	IR	9770368700911	Asia/Tehran
Peabody	US	0154641908086	America/New_York
Minokamo	JP	3327935036025	Asia/Tokyo
Fairview Heights	US	7349594861462	America/Chicago
Barmbek-Nord	DE	1875579981024	Europe/Berlin
Tandil	AR	0516322538782	America/Argentina/Buenos_Aires
Kingston upon Hull	GB	2986863589662	Europe/London
Rafaela	AR	9305838139184	America/Argentina/Cordoba
Annaka	JP	6352558907541	Asia/Tokyo
San Carlos	CO	8697146851997	America/Bogota
Nizhniy Lomov	RU	2156716510710	Europe/Moscow
Leyland	GB	7604242938188	Europe/London
Las Gabias	ES	2449994688548	Europe/Madrid
Rio Real	BR	4082536764911	America/Bahia
Valence	FR	8255126658501	Europe/Paris
Cibinong	ID	1597663274415	Asia/Jakarta
Karatsu	JP	7905259970254	Asia/Tokyo
Croix-des-Bouquets	HT	3017136514438	America/Port-au-Prince
Iturama	BR	5043480934682	America/Sao_Paulo
Norco	US	4473008346825	America/Los_Angeles
Visitacion Valley	US	6068058449640	America/Los_Angeles
Saint-Denis	RE	2886580213256	Indian/Reunion
Iringa	TZ	7791045399565	Africa/Dar_es_Salaam
Mira Mesa	US	3148032015696	America/Los_Angeles
Novosilikatnyy	RU	7533469294374	Asia/Barnaul
San Jose	PH	8306439221828	Asia/Manila
Misterbianco	IT	5270519685578	Europe/Rome
Misterbianco	IT	3236626305992	Europe/Rome
Denderleeuw	BE	9653048859164	Europe/Brussels
Hartley	GB	1581301269987	Europe/London
Curitiba	BR	6482999256561	America/Sao_Paulo
Fayetteville	US	4115394589959	America/New_York
Acayucan	MX	9746830434707	America/Mexico_City
Sathyamangalam	IN	7175728793176	Asia/Kolkata
Most	CZ	0913122172893	Europe/Prague
Jersey City	US	6496505873869	America/New_York
Granger	US	9068914302987	America/Indiana/Indianapolis
Sterling	US	6342562004824	America/New_York
Wacheng	CN	0818803056014	Asia/Shanghai
Hueytown	US	0630824645677	America/Chicago
Denderleeuw	BE	9445041721537	Europe/Brussels
Talavera de la Reina	ES	5571196311263	Europe/Madrid
Arba Minch	ET	0311258907127	Africa/Addis_Ababa
Viradouro	BR	8758482117816	America/Sao_Paulo
Maspalomas	ES	9043363816193	Atlantic/Canary
Gates-North Gates	US	8876383405495	America/New_York
Most	CZ	5205194199683	Europe/Prague
Volla	IT	5122559979356	Europe/Rome
Pucheng	CN	7152891759284	Asia/Shanghai
Gandia	ES	4446943395777	Europe/Madrid
Volokolamsk	RU	8387820605465	Europe/Moscow
Arbroath	GB	4512504949045	Europe/London
Tonota	BW	2908291088289	Africa/Gaborone
Pfullingen	DE	5663757789618	Europe/Berlin
Teghra	IN	2121947559180	Asia/Kolkata
Oulmes	MA	6861733860422	Africa/Casablanca
Aschaffenburg	DE	0987630968484	Europe/Berlin
les Escaldes	AD	1872376478726	Europe/Andorra
Sankt Peter	AT	1916806043662	Europe/Vienna
Kallio	FI	4618671800049	Europe/Helsinki
Beaconsfield	CA	6584184810838	America/Toronto
Beaconsfield	CA	7141432252551	America/Toronto
Barbil	IN	4888050012848	Asia/Kolkata
Kismayo	SO	3166615915454	Africa/Mogadishu
Buenaventura	CO	1193563744081	America/Bogota
Voznesensk	UA	3123475526480	Europe/Kiev
Shushary	RU	3240074820907	Europe/Moscow
Liaoyang	CN	7129237254055	Asia/Shanghai
Amposta	ES	7885472144079	Europe/Madrid
'Ali Sabieh	DJ	7793260793807	Africa/Djibouti
Alexandria	EG	1067114353148	Africa/Cairo
Vught	NL	6140163914531	Europe/Amsterdam
Chacabuco	AR	3575911490211	America/Argentina/Buenos_Aires
Yonkers	US	9073232724588	America/New_York
Osmanabad	IN	7886054127435	Asia/Kolkata
Leyland	GB	5061242560184	Europe/London
Mount Hagen	PG	7803111118403	Pacific/Port_Moresby
Blackpool	GB	0890558848175	Europe/London
Coralville	US	0900683579858	America/Chicago
Wacheng	CN	1207353764972	Asia/Shanghai
San Juan de Aznalfarache	ES	2941225989603	Europe/Madrid
Nowshahr	IR	9247387414902	Asia/Tehran
Majene	ID	3974225047522	Asia/Makassar
Simpang	ID	5142835695466	Asia/Jakarta
Kireyevsk	RU	1001637617882	Europe/Moscow
Bisceglie	IT	4203064955392	Europe/Rome
Taozhuang	CN	5650726033063	Asia/Shanghai
Talipparamba	IN	0706446390858	Asia/Kolkata
Mechanicsville	US	2783500459445	America/New_York
Goyang-si	KR	1808545135527	Asia/Seoul
Aytos	BG	0138338932233	Europe/Sofia
Guyong	PH	4648754491727	Asia/Manila
Camarillo	US	9360550937579	America/Los_Angeles
Griffith	AU	3802280053830	Australia/Sydney
Gudermes	RU	3676902697456	Europe/Moscow
Labuhan Deli	ID	3525617314564	Asia/Jakarta
Shimotoda	JP	1185363403756	Asia/Tokyo
Charlottetown	CA	1166529259264	America/Halifax
Udumalaippettai	IN	1285780406009	Asia/Kolkata
Sakaraha	MG	9888510611456	Indian/Antananarivo
Aschaffenburg	DE	4711024141117	Europe/Berlin
