session_duration	wild_mouse_duration	pct_scroll_move	screen_width	product_ean	pct_doubleclick	browser_name	user_id	pct_mouse_click	pct_mouse_move	pct_wild_mouse	pct_click_product_info	mouse_move_total_rel_distance	scroll_move_total_rel_distance	page_activity_duration	session_start	session_id	screen_height	pct_input	pct_scrandom	pct_rage_click	ack	pct_scroll_move_duration	pct_click	total_load_time
236.88961	10.28554	36.92911	800	2193503010008	10.53409	chrome	599	9.97809	12.85887	47.90501	24.62916	13.14317	9.28588	6.43038	2022-06-24 21:55:59	677722	600	2.74293	26.14710	37.19953	1.00000	5.89457	5.00618	4.86191
179.46887	8.98334	33.83344	1366	4929043671489	11.15279	edge	122	9.40106	9.93977	53.37389	42.25409	4.06560	10.51637	9.20390	2022-06-28 17:14:01	479845	800	0.73180	46.96177	43.10016	0.00000	8.59232	11.57778	6.40590
196.84071	9.47269	40.03141	1280	2067448433744	8.25461	firefox	2125	10.38927	11.58422	69.05234	39.43246	14.71857	8.99875	6.29967	2021-11-20 14:18:53	928245	800	1.24545	43.17029	63.05060	1.00000	6.55668	3.61231	6.31409
217.18923	11.65075	60.43237	1280	3783288205219	9.77124	chrome	1004	9.83475	12.80934	45.57518	50.88469	9.15618	5.70308	5.50080	2023-05-24 17:04:14	1021136	1024	10.81056	53.95914	32.19738	0.00000	7.23594	4.16841	1.57854
116.79281	8.46519	67.11029	1024	3142410160312	10.12802	edge	1481	11.76333	12.42584	49.93957	57.65202	8.57107	8.25394	7.79597	2019-04-03 19:31:56	797259	768	0.46350	49.41581	15.73448	0.00000	8.35696	7.89278	5.10701
234.63088	9.49977	70.81697	higher	0556299905101	7.97230	safari	438	9.68713	11.00405	45.57192	49.20098	6.57112	5.79686	13.81924	2022-06-08 11:32:15	370118	800	1.27574	67.26709	39.19509	0.00000	11.19013	12.78868	2.12279
171.08104	9.95855	48.22399	1024	8944472280640	10.35276	other	1503	9.68574	11.76811	58.83259	64.59918	13.11155	7.75375	7.16140	2021-05-10 21:41:08	478898	1080	2.01023	57.20980	46.05467	1.00000	7.18410	5.12405	8.23474
171.15963		58.38011	lower	0703014171284	9.91875	other	1842	9.28462	9.89581	26.51419	31.47088	10.47246	7.99590	8.31749	2021-10-01 08:39:36	371092	1080	5.30633	42.01955	79.74663	0.00000	8.63728	7.15451	3.25381
287.38649		64.77721	1280	4178950657561	7.68051	chrome	367	11.11961	10.44033	66.81751	49.44488	8.95348	6.78546	11.64965	2023-09-11 20:52:00	1267031	1080	4.30023	58.23550	70.57416	0.00000	15.97604	11.86094	0.87888
45.09328	8.53279	56.74070	1024	4494476103666	12.37321	edge	1040	8.40976	12.01045	72.18774	70.35998	10.12905	7.88901	8.96989	2021-03-17 00:44:37	266647	768	0.47685	60.79838	32.00014	1.00000	8.70009	8.82545	5.47052
61.03307	10.65968	43.03904	1024	1706614853399	8.52913	edge	2369	10.44249	10.91796	71.31641	57.06463	8.24152	8.22092	12.38261	2021-04-25 12:07:06	1336009	1080	3.98585	46.85676	30.40806	0.00000	9.69332	11.71601	2.49206
250.65652	11.31267	53.36486	800	1871065526434	11.27503	edge	269	9.75530	12.43582	53.17896	36.86451	10.52595	10.10131	8.77007	2022-09-26 23:58:32	377912	1080	7.66796	60.37705	45.15148	1.00000	8.78191	9.33311	3.43147
75.47537	8.75969	63.17384	1024	1046079353134	9.32778	chrome	2029	8.89195	12.49643	53.23523	57.44059	9.30095	8.30503	11.44256	2019-04-30 07:41:16	529446	1080	0.62873	50.79224	48.15208	0.00000	12.19475	11.85112	5.41810
58.14999	8.62986	39.17926	lower	4114831831378	11.47391	chrome	714	9.82963	11.69539	36.15857	62.65444	12.06083	8.42170	11.36584	2021-07-04 03:12:19	868981	600	0.51514	59.86468	43.97513	1.00000	10.75171	10.84269	4.02733
146.22447	10.20280	58.91073	1920	0627297710681	10.54262	chrome	2249	9.51053	12.23769	35.01046	30.20522	11.51633	9.30447	7.88139	2020-08-14 22:16:21	468610	800	2.44860	48.48646	49.25926	1.00000	8.40492	7.51683	9.42963
116.74838	8.06884	58.49281	800	8478721524044	12.02798	edge	419	7.79504	12.80460	37.69090	65.29579	12.12797	10.35089	7.60090	2020-02-10 17:03:28	283081	1024	0.33319	32.09931	37.31414	1.00000	8.71901	8.11930	3.92899
47.39271	10.35795	34.12499	1280	8280477019879	6.75229	chrome	1426	9.46706	12.43295	42.00901	58.12164	7.99832	9.18159	9.31714	2022-07-08 18:04:14	1396414	768	2.94555	51.13561	38.92141	1.00000	10.29212	9.57143	2.78692
125.25733	9.40287	19.74167	1024	8752329337009	10.43205	chrome	1855	8.85138	11.75291	67.06289	68.28101	14.58810	8.59817	5.65424	2019-02-10 22:10:55	668965	lower	1.16233	50.25136	44.45079	1.00000	6.23047	3.40441	5.20374
63.23703	8.74353	59.40834	lower	0352737188149	8.79961	mobile	911	9.66650	10.04213	38.84454	52.23106	8.49703	6.96715	12.74557	2022-06-17 00:10:45	510589	600	0.59897	44.70929	53.94289	0.00000	11.99419	12.01479	9.22619
170.88371	8.76307	56.08677	800	7760966162701	7.72663	edge	1255	9.58979	10.01577	48.06120	49.01190	7.75781	8.50560	13.60885	2020-06-20 13:54:56	661370	1024	0.62895	49.11153	52.31646	0.00000	9.18512	12.54726	2.53324
256.14456	8.20712	54.54004	1366	0808810995185	8.03468	edge	1815	9.91982	11.22263	71.97560	52.61089	8.27377	6.89511	13.46726	2020-05-26 05:06:01	267020	higher	0.28525	39.81916	48.28779	0.00000	12.38811	12.82604	0.80558
237.13233	11.21356	37.68797	1024	9387958563506	12.39681	chrome	845	11.32712	9.98319	54.66396	46.66380	11.68526	9.49430	9.88813	2020-08-06 12:53:29	417580	1024	6.93313	60.87701	58.67383	1.00000	10.20170	9.92745	2.54691
57.24917	8.99451	54.27939	800	7829029332953	10.46858	chrome	2244	8.16798	12.91465	50.37956	71.95334	12.09665	9.15537	10.84980	2019-11-20 03:07:47	1071806	lower	0.69857	49.69654	51.46776	1.00000	11.38868	10.87402	1.18694
121.19653	8.57368	29.21209	800	4479459830111	11.26403	chrome	791	9.13633	11.70711	38.43899	49.65017	12.23481	8.29901	7.47902	2019-08-13 00:37:17	1360138	1024	0.41675	49.18325	61.30981	1.00000	7.40871	6.24263	3.41482
144.75673	10.01326	56.32177	higher	0692978125016	9.75468	firefox	1743	9.69734	13.04984	61.53009	66.00519	12.56575	10.21673	7.20389	2021-12-11 00:12:20	672536	768	2.08845	39.55367	39.70540	1.00000	8.54290	6.96538	1.99335
121.24986	11.45576	37.63426	1920	5190779919087	7.15346	safari	725	9.00518		58.76698	54.33363	6.36717	7.12280	12.94711	2022-04-11 00:05:27	488170	1080	8.92583	59.58773	49.08318	0.00000	9.64614	11.74928	3.14370
190.64076	10.18128	58.74092	1280	8303839922942	11.86367	opera	627	8.62333	12.24911	81.49901	58.97613	11.89484	8.26816	10.54711	2019-05-25 03:15:38	616555	768	2.43802	62.66320	59.09518	1.00000	11.88956	10.67749	3.03748
107.72864	9.27284	28.46801	1920	2783872914306	13.50174	edge	392	8.06061	11.66327	47.21927	31.03180	7.11724	8.15724	9.48166	2023-03-16 20:07:14	1001671	800	0.98516	63.94819	60.88722	0.00000	7.37842	10.23900	3.81302
176.32999	8.40716	61.65302	1024	4846287078730	10.74289	chrome	2494	10.15366	10.48350	46.09143	57.25963	10.20214	8.16918	12.25098	2020-01-23 04:14:17	533679	1080	0.45141	34.70371	57.60035	1.00000	10.54361	11.66480	1.19220
100.79251	8.91249	55.27579	lower	1623871771139	12.24607	chrome	616	12.58178	11.41390	45.20556	78.62567	9.05954	9.36668	10.02472	2019-03-25 07:13:12	821868	1080	0.63957	57.42479	40.40369	1.00000	8.28722	10.50693	1.16606
211.79228	9.54504	54.17292	800	5042658294283	12.57937	edge	2104	12.24163	12.70164	51.93261	47.76220	9.17323	9.37692	9.60651	2021-11-07 01:51:13	454036	800	1.40210	32.36669	59.35501	1.00000	9.53643	10.82052	5.41805
76.04153	9.73457	60.01784	1366	8226241639171	10.62955	edge	1395	10.28075	11.98205	38.68975	36.87003	11.95986	6.81039	12.77368	2022-09-16 12:47:50	1321303	800	1.52081	55.08387	49.95712	1.00000	13.49522	12.07249	6.93645
152.42687	10.05175	40.79143	1366	8428129979052	12.26446	chrome	1878	9.57948	10.43106	49.90179	48.71242	14.22384	7.41256	11.17044	2020-06-07 03:12:01	856788	1024	2.21146	52.84750	33.44324	1.00000	14.15637	10.52261	2.52051
51.99041	10.15438	57.10189	1024	0935614986108	10.88359	chrome	896	9.65936	10.53281	55.05868	63.96569	12.40820	8.33120	7.61808	2018-10-16 11:59:24	626118	800	2.38345	49.92805	48.62661	1.00000	7.15943	5.93017	1.50125
199.73318	8.93763	66.65463	800	7135391241008	7.53512	other	941	9.49083	10.66766	41.70518	60.76901	8.29980	9.16134	10.62120	2023-07-08 21:27:26	713349	1024	0.74209	44.96026	30.88467	0.00000	11.37757	10.81834	1.44525
